x	y
0.338	0.000
0.650	0.000
0.961	0.000
1.211	0.000
1.522	0.000
1.833	0.000
2.145	0.000
2.456	0.000
2.706	0.000
3.017	0.000
3.328	0.000
3.640	0.000
3.951	3.043
4.235	8.000
4.574	13.249
4.843	14.000
5.158	15.000
5.509	18.109
5.744	21.000
6.059	24.000
6.381	26.371
6.667	27.000
7.002	27.500
7.315	28.315
7.568	27.500
7.903	27.000
8.249	25.885
8.448	24.600
8.742	23.800
9.122	22.483
9.413	21.000
9.706	20.000
9.994	19.081
10.272	20.000
10.628	21.000
10.928	22.969
11.173	23.000
11.467	23.400
11.800	23.941
12.138	24.000
12.431	25.000
12.672	26.371
12.955	26.500
13.311	28.000
13.607	29.287
13.940	32.000
14.192	34.000
14.541	35.119
14.842	36.000
15.135	37.000
15.413	38.035
15.722	38.500
16.057	39.000
16.347	39.493
16.623	39.500
16.959	39.000
17.282	38.521
17.525	37.500
17.818	38.000
18.154	38.035
18.447	38.500
18.761	39.000
19.026	39.493
19.348	40.000
19.663	40.400
19.960	40.950
20.250	41.000
20.543	41.500
20.832	41.922
21.172	42.000
21.465	42.000
21.767	41.922
22.031	41.922
22.388	41.922
22.639	41.922
22.954	41.800
23.289	41.700
23.573	41.436
23.939	41.000
24.169	40.600
24.508	40.465
24.798	40.650
25.113	40.650
25.442	40.465
25.700	40.000
26.014	40.000
26.314	39.979
26.601	39.500
26.936	39.400
27.248	39.007
27.502	38.950
27.817	38.600
28.120	38.521
28.424	38.000
28.718	37.890
29.055	37.549
29.326	37.640
