x	y
0.338	109.961
0.650	131.830
0.961	108.989
1.211	97.811
1.522	84.690
1.833	76.428
2.145	68.166
2.456	65.250
2.706	61.362
3.017	57.474
3.328	54.558
3.640	53.100
3.951	50.670
4.235	48.700
4.574	46.296
4.843	45.000
5.158	43.720
5.509	42.894
5.744	40.800
6.059	40.336
6.381	39.493
6.667	38.645
7.002	37.252
7.315	36.091
7.568	35.304
7.903	35.251
8.249	34.147
8.448	33.795
8.742	33.344
9.122	33.175
9.413	32.000
9.706	31.453
9.994	31.231
10.272	30.535
10.628	30.346
10.928	30.259
11.173	29.414
11.467	28.977
11.800	28.801
12.138	28.004
12.431	27.581
12.672	27.829
12.955	27.140
13.311	26.787
13.607	26.371
13.940	26.096
14.192	26.350
14.541	25.885
14.842	25.335
15.135	25.395
15.413	24.913
15.722	24.621
16.057	24.240
16.347	24.427
16.623	23.718
16.959	23.479
17.282	23.941
17.525	23.450
17.818	22.676
18.154	22.969
18.447	22.732
18.761	22.476
19.026	22.483
19.348	22.025
19.663	21.854
19.960	21.997
20.250	21.515
20.543	21.671
20.832	21.511
21.172	21.415
21.465	21.205
21.767	20.539
22.031	20.641
22.388	20.398
22.639	21.025
22.954	20.315
23.289	20.498
23.573	20.539
23.939	19.487
24.169	19.709
24.508	20.053
24.798	19.216
25.113	19.300
25.442	19.567
25.700	19.048
26.014	19.063
26.314	19.081
26.601	18.900
26.936	18.700
27.248	18.595
27.502	18.500
27.817	18.400
28.120	18.109
28.424	18.109
28.718	18.109
29.055	18.109
29.326	18.220
