x	y
0.038	0.112
0.104	5.098
0.171	9.773
0.237	16.629
0.304	21.927
0.370	27.225
0.436	28.783
0.569	31.100
0.702	33.146
0.769	34.700
0.901	41.248
1.034	47.170
1.167	53.091
1.366	58.389
1.765	62.128
3.558	68.361
5.352	89.552
7.211	91.422
8.938	87.683
10.798	83.320
12.592	77.710
14.385	72.724
16.245	68.361
17.972	64.310
19.765	60.570
21.625	57.454
23.352	54.961
25.145	52.467
27.005	50.598
28.798	48.728
30.525	47.170
32.385	46.235
34.179	44.053
35.972	43.430
37.765	42.183
39.559	41.248
41.418	40.313
43.212	40.002
