x	y
0.038	0.000
0.104	0.000
0.171	0.000
0.237	0.000
0.304	0.000
0.370	0.000
0.436	0.000
0.569	0.000
0.702	0.000
0.769	0.000
0.901	0.000
1.034	0.000
1.167	0.000
1.366	0.000
1.765	0.000
3.558	0.000
5.352	7.591
7.211	18.187
8.938	25.666
10.798	31.276
12.592	35.327
14.385	36.885
16.245	38.132
17.972	40.625
19.765	43.118
21.625	44.365
23.352	45.611
25.145	47.481
27.005	47.170
28.798	46.235
30.525	46.546
32.385	46.235
34.179	44.365
35.972	42.183
37.765	43.118
39.559	40.937
41.418	41.248
43.212	39.067
