x	y
0.279	25.143
0.774	47.994
1.125	60.149
1.552	72.872
1.963	83.096
2.341	89.546
2.837	98.251
3.206	104.555
3.584	110.136
3.992	117.273
4.368	125.517
4.720	132.587
5.147	139.922
5.530	145.115
5.990	147.719
6.303	147.919
6.747	147.099
7.206	147.595
7.540	148.977
7.936	151.192
8.368	152.681
8.695	153.142
9.179	153.673
9.584	153.921
9.990	154.541
10.428	155.493
10.746	156.402
11.179	157.518
11.611	158.759
12.078	159.959
12.368	160.371
12.773	161.239
13.151	161.852
13.638	162.232
14.017	161.612
14.471	159.959
14.827	159.379
15.233	158.139
15.792	156.550
16.122	155.414
16.422	155.286
16.800	155.286
17.206	155.162
17.607	155.036
18.043	155.162
18.476	155.162
18.927	155.793
19.233	156.526
19.692	157.394
20.082	157.687
20.476	157.766
20.935	157.022
21.402	155.036
21.611	154.541
22.151	153.921
22.475	153.900
22.827	153.797
23.218	153.142
23.692	153.301
24.124	153.549
24.538	153.521
24.881	153.425
25.313	153.053
25.776	152.763
26.097	152.557
26.518	152.385
26.908	152.557
27.286	152.309
27.756	152.385
28.168	151.249
28.502	151.316
28.908	150.944
29.324	150.491
29.719	150.572
30.124	150.076
30.561	150.113
31.016	150.076
31.340	149.952
31.716	150.491
32.124	151.068
32.556	151.441
32.872	151.627
33.367	151.689
33.691	152.061
34.124	153.425
34.502	154.045
34.908	153.921
35.394	153.549
35.772	152.433
36.124	151.937
36.583	151.316
36.962	151.565
37.367	152.805
37.772	153.301
