x	y
0.356	19.380
0.711	34.600
1.067	87.050
1.423	142.280
1.778	172.940
2.134	185.010
2.490	199.410
2.845	209.040
3.201	217.520
3.557	223.470
3.912	224.590
4.268	222.150
4.624	220.950
4.979	222.200
5.335	224.770
5.691	228.210
6.046	231.120
6.402	232.030
6.758	232.750
7.113	233.390
7.469	233.440
7.825	232.670
8.180	231.140
8.536	231.140
8.892	230.990
9.247	230.330
9.603	230.000
9.959	229.760
10.314	230.180
10.670	231.180
11.025	231.400
11.381	231.060
11.737	230.110
12.092	229.450
12.448	228.040
12.804	227.810
13.159	227.760
13.515	227.570
13.871	226.750
14.226	224.940
14.582	224.790
14.938	222.530
15.293	218.630
15.649	212.270
15.900	209.320
16.210	209.180
16.550	206.500
17.000	210.710
17.301	213.430
17.633	214.920
18.009	217.500
18.344	218.830
18.700	216.520
19.056	215.200
19.451	215.920
19.757	215.240
20.103	214.110
20.458	214.270
20.884	213.410
21.240	213.980
21.595	213.600
21.951	213.920
22.307	214.380
22.620	214.370
23.018	212.670
23.274	210.810
23.629	208.810
23.985	201.590
24.341	193.320
24.696	189.260
25.052	188.130
25.408	187.960
25.863	188.500
26.119	183.110
26.475	186.530
26.830	185.970
27.186	184.150
27.542	184.430
27.897	187.160
28.253	184.470
28.609	182.470
28.964	185.210
29.320	188.580
29.676	189.760
30.031	191.070
30.387	193.420
30.742	190.200
31.098	187.590
31.454	188.350
31.809	190.410
32.165	193.170
32.521	195.300
32.800	193.360
33.232	196.810
33.600	200.220
34.000	198.610
34.300	199.690
34.700	200.460
35.010	201.780
35.300	203.200
