x	y
0.459	0.000
0.639	0.000
0.879	0.000
0.969	0.000
1.419	0.000
1.870	0.000
2.230	0.000
2.650	0.000
3.010	0.000
3.761	0.000
4.482	0.000
4.932	0.000
5.412	0.000
5.712	0.000
6.227	0.000
7.056	0.000
8.051	0.000
8.879	0.000
9.791	0.000
10.786	0.000
11.698	0.000
12.609	13.600
13.438	20.600
14.433	26.300
15.262	31.500
16.160	35.000
17.091	38.000
17.991	39.000
18.922	44.000
19.823	46.000
20.693	46.000
21.624	46.000
23.395	45.000
25.227	44.000
26.998	44.000
28.799	44.000
30.601	42.000
32.432	40.000
34.203	39.000
36.035	37.000
37.806	36.000
39.637	35.000
