x	y
0.713	155.702
0.904	164.277
1.159	172.033
1.350	177.321
1.604	184.388
1.795	187.545
2.050	194.243
2.304	199.884
2.495	203.409
2.686	206.582
2.941	210.460
3.132	211.165
3.386	207.992
3.641	202.352
3.895	199.884
4.532	199.884
5.168	206.838
5.805	211.165
6.505	212.223
7.141	212.223
7.841	213.633
8.478	213.116
9.178	211.518
9.814	215.396
10.514	218.569
11.151	221.389
11.851	220.332
12.487	217.864
13.187	218.921
13.887	219.274
14.523	213.281
15.160	208.698
15.860	207.992
16.496	210.108
17.196	210.460
17.833	208.345
18.533	204.115
19.233	204.820
19.869	206.582
20.506	207.640
21.206	207.992
21.778	211.870
22.542	211.518
23.178	212.223
23.815	214.691
24.515	213.281
25.151	208.345
25.851	204.820
26.552	204.115
27.251	203.197
27.888	202.704
28.524	203.762
29.160	197.748
29.846	195.025
30.070	200.210
30.226	200.110
30.744	200.099
31.416	199.162
31.660	199.889
32.049	195.290
32.532	197.679
32.945	197.953
33.200	197.953
33.411	194.229
33.676	195.818
33.886	193.533
34.097	188.731
34.288	182.444
34.532	180.880
34.731	178.632
34.993	180.954
35.213	183.744
35.402	184.785
35.633	189.651
35.865	190.731
36.100	191.875
36.298	192.133
36.560	192.485
36.756	193.044
36.931	194.587
37.220	195.807
37.440	200.157
37.626	202.811
37.886	203.171
38.085	205.075
38.318	204.891
38.548	203.855
38.766	203.318
38.963	201.921
39.187	200.832
39.417	196.582
39.672	197.663
39.862	198.016
40.094	186.250
40.317	185.337
40.506	181.355
40.728	180.219
40.973	175.269
41.209	177.632
41.411	193.179
41.651	179.165
41.866	174.661
42.052	174.846
42.272	177.064
42.552	178.153
42.763	181.621
42.950	182.457
43.235	184.168
43.422	184.468
43.621	186.217
43.905	186.562
44.062	189.508
44.347	189.684
