x	y
0.459	72.615
0.713	97.294
0.904	112.806
1.159	126.907
1.350	140.657
1.604	152.643
1.795	162.514
2.050	172.386
2.304	180.847
2.495	186.840
2.686	192.481
2.941	199.179
3.132	204.820
3.386	211.870
3.641	218.216
3.895	221.037
4.532	227.030
5.168	232.318
5.805	235.491
6.505	236.196
7.141	236.196
7.841	235.491
8.478	235.138
9.178	233.023
10.514	223.857
11.151	221.037
11.851	218.569
12.487	216.101
13.187	214.338
13.887	211.870
14.523	210.460
15.160	208.698
15.860	208.345
16.496	207.287
17.196	205.172
17.833	202.704
18.533	200.942
19.233	198.826
19.869	197.416
20.506	194.948
21.206	193.538
21.778	191.775
22.542	189.660
23.179	187.898
23.815	186.487
24.515	185.077
25.151	184.020
25.851	183.314
26.552	182.609
27.252	182.257
27.888	180.847
28.524	180.494
29.161	179.436
29.846	179.100
30.070	178.600
30.226	178.600
30.744	178.700
31.416	178.500
31.660	178.500
32.049	178.700
32.532	178.400
32.945	178.100
33.200	177.599
33.411	177.399
33.676	177.199
33.886	176.899
34.097	176.399
34.288	176.599
34.532	176.399
34.731	176.499
34.993	176.299
35.213	175.899
35.402	175.498
35.633	175.498
35.865	175.698
36.100	176.499
36.298	176.099
36.560	176.099
36.756	175.899
36.931	175.498
37.220	175.698
37.440	175.498
37.626	175.498
37.886	175.398
38.085	175.398
38.318	175.398
38.548	175.498
38.766	175.498
38.963	175.398
39.187	175.498
39.417	175.498
39.672	175.498
39.862	175.398
40.094	175.498
40.317	175.498
40.506	175.498
40.728	176.899
40.973	176.899
41.209	176.899
41.411	176.899
41.651	176.899
41.866	176.899
42.052	176.899
42.272	176.899
42.552	176.899
42.763	176.899
42.950	177.599
43.235	177.599
43.422	177.599
43.621	178.500
43.905	178.400
44.062	178.300
44.347	178.300
