x	y
1.333	138.322
1.452	142.087
1.531	122.726
1.611	126.491
1.721	123.914
1.810	142.087
1.887	140.047
1.969	128.642
2.048	136.171
2.131	138.313
2.247	147.465
2.311	141.262
2.446	143.162
2.485	150.692
2.567	146.813
2.644	149.078
2.734	151.150
2.843	147.465
2.926	147.854
3.003	152.017
3.080	149.762
3.170	150.976
3.280	151.767
3.349	154.793
3.400	157.145
3.516	157.395
3.605	157.742
3.678	158.759
3.757	163.599
3.849	167.110
3.952	166.242
3.996	167.901
4.144	167.977
4.194	171.128
4.298	173.702
4.375	174.916
4.473	177.582
4.516	181.508
4.592	182.960
4.708	183.069
4.811	183.590
4.910	187.800
4.964	189.315
5.041	191.570
5.144	191.570
5.228	193.178
5.298	194.345
5.400	194.519
5.506	195.329
5.567	196.774
5.644	199.029
5.705	201.783
5.811	199.897
5.904	198.556
6.003	199.897
6.063	200.707
6.170	199.203
6.182	199.631
6.272	199.897
6.381	201.783
6.413	200.417
6.503	199.723
6.619	198.556
6.682	200.244
6.785	199.203
6.849	200.590
6.897	203.396
7.029	201.631
7.175	203.396
7.208	201.458
7.295	200.169
7.375	197.641
7.493	195.329
7.541	199.376
7.652	201.783
7.708	198.856
7.798	199.376
7.891	199.631
7.977	198.856
8.050	198.556
8.129	200.707
8.221	198.335
8.311	196.774
8.408	195.867
8.503	195.907
8.567	194.791
8.657	196.427
8.747	197.121
8.845	198.018
8.964	201.783
9.029	203.887
9.123	205.547
9.183	203.713
9.285	203.540
9.322	203.934
9.413	202.672
9.520	201.783
9.631	201.111
9.695	200.244
9.759	200.169
9.878	201.245
9.952	200.070
10.037	200.169
10.118	197.294
10.196	196.405
10.298	196.427
10.355	199.094
10.465	197.121
10.554	197.480
10.644	198.162
10.753	199.631
10.759	199.029
10.832	195.867
10.926	195.907
10.990	193.478
11.067	192.090
11.150	191.564
11.234	192.264
11.311	192.958
11.413	192.784
11.508	193.178
11.627	191.564
11.683	194.172
11.772	195.213
11.849	195.560
11.926	195.907
11.985	197.480
11.990	197.468
12.104	200.169
12.170	200.590
12.260	200.070
12.342	199.631
12.422	201.783
12.516	200.764
12.606	200.244
12.708	199.550
12.760	198.509
12.819	201.783
12.926	201.458
13.067	200.417
13.137	200.707
13.195	202.152
13.285	202.152
13.362	202.152
13.455	202.321
13.575	205.010
13.606	206.489
13.734	206.489
13.773	208.774
13.901	207.530
13.952	210.132
14.042	210.826
14.131	212.539
14.195	215.163
14.324	215.163
14.409	217.379
14.465	212.734
14.580	213.948
14.687	213.614
14.760	213.948
14.846	210.925
14.886	205.547
14.990	206.315
15.085	211.463
15.204	207.699
15.260	195.386
15.337	199.550
15.482	202.858
15.529	199.029
15.562	206.623
15.683	202.672
15.772	205.274
15.880	200.707
15.959	194.791
16.029	194.172
16.158	193.716
16.196	191.396
16.317	193.716
16.397	186.186
16.465	186.712
16.554	188.447
16.635	190.489
16.721	189.835
16.834	201.245
16.913	188.338
16.953	184.573
17.072	203.396
17.152	209.312
17.192	224.370
17.351	213.077
17.390	203.396
17.470	223.833
17.555	194.519
17.734	190.355
17.748	193.716
17.824	192.437
17.907	196.405
18.026	192.102
18.093	194.692
18.157	198.509
18.265	220.068
18.349	214.295
18.401	200.764
18.503	199.094
18.619	200.417
18.683	196.254
18.821	205.547
18.861	191.564
18.875	191.396
18.939	193.131
19.099	199.094
