x	y
0.440	112.676
0.587	107.836
0.684	104.608
0.782	102.457
0.917	99.448
1.026	96.540
1.122	94.937
1.222	92.775
1.319	90.624
1.421	89.038
1.564	87.397
1.642	85.394
1.808	82.556
1.857	82.018
1.957	81.057
2.052	79.329
2.162	77.934
2.296	76.102
2.398	74.985
2.493	73.944
2.587	73.597
2.698	73.076
2.833	71.261
2.918	70.647
2.980	70.185
3.123	68.912
3.233	68.392
3.322	67.496
3.419	66.958
3.532	66.136
3.658	65.269
3.712	64.806
3.894	63.360
3.956	62.655
4.084	62.146
4.178	61.452
4.298	60.503
4.352	60.584
4.445	60.503
4.588	59.543
4.714	59.023
4.836	58.352
4.903	57.982
4.997	57.635
5.123	56.941
5.226	56.738
5.312	56.073
5.438	55.206
5.568	54.587
5.643	54.512
5.738	54.338
5.812	54.049
5.942	53.471
6.056	52.973
6.179	52.777
6.252	52.436
6.384	51.957
6.398	51.898
6.509	51.562
6.642	50.822
6.683	50.695
6.793	50.348
6.935	49.921
7.013	49.828
7.140	49.307
7.218	49.134
7.277	49.208
7.439	48.613
7.619	48.133
7.659	47.919
7.766	47.595
7.864	47.225
8.010	47.057
8.069	46.878
8.205	46.519
8.274	46.358
8.384	46.184
8.498	45.981
8.605	45.837
8.694	45.837
8.791	45.443
8.904	45.143
9.014	44.623
9.133	44.368
9.250	44.449
9.328	44.368
9.439	43.929
9.550	43.755
9.670	43.830
9.817	43.292
9.896	43.061
10.012	42.754
10.085	42.541
10.211	42.194
10.256	42.216
10.369	41.847
10.501	41.678
10.636	41.500
10.715	41.326
10.794	41.140
10.940	41.140
11.030	40.979
11.135	40.602
11.235	40.459
11.331	40.602
11.456	40.285
11.526	40.065
11.661	40.112
11.770	40.065
11.881	39.591
12.014	39.364
12.022	39.418
12.112	39.527
12.228	39.244
12.306	39.071
12.401	39.071
12.503	38.989
12.606	38.724
12.701	38.377
12.826	38.203
12.942	37.913
13.089	37.913
13.157	37.509
13.267	37.509
13.362	37.509
13.456	37.509
13.528	37.375
13.535	37.162
13.675	37.375
13.756	37.162
13.866	36.989
13.968	36.837
14.066	36.300
14.181	36.295
14.291	36.295
14.417	36.295
14.480	36.295
14.554	36.300
14.685	35.948
14.858	35.948
14.945	35.762
15.016	35.601
15.126	35.254
15.221	35.080
15.335	34.686
15.482	34.686
15.520	34.907
15.678	34.733
15.726	34.686
15.882	34.386
15.946	34.386
16.056	34.213
16.165	34.148
16.245	34.039
16.402	34.213
16.507	34.148
16.576	34.039
16.717	33.866
16.849	34.148
16.938	33.692
17.045	33.610
17.093	33.610
17.221	33.519
17.338	33.610
17.484	33.610
17.552	32.998
17.647	32.825
17.826	33.072
17.883	32.825
17.924	33.072
18.072	32.825
18.182	32.651
18.314	32.535
18.412	32.535
18.497	32.478
18.656	31.997
18.702	31.957
18.851	31.997
18.949	31.997
19.033	31.784
19.143	31.957
19.242	31.997
19.348	31.610
19.486	31.459
19.584	31.459
19.633	30.921
19.779	30.921
19.877	30.921
19.926	30.921
20.121	30.921
20.170	30.921
20.268	30.921
20.372	30.916
20.592	30.916
20.610	30.921
20.703	30.916
20.805	30.921
20.951	30.383
21.034	30.396
21.112	30.222
21.244	30.383
21.349	30.222
21.412	30.049
21.537	30.383
21.679	30.049
21.758	29.702
21.928	29.845
21.977	29.845
21.994	29.875
22.073	29.702
22.270	29.845
