x	y
0.440	0.010
0.587	0.010
0.684	0.010
0.782	0.010
0.917	0.010
1.026	0.010
1.121	0.010
1.222	0.010
1.319	0.010
1.421	0.010
1.564	0.010
1.642	0.010
1.808	0.010
1.857	0.010
1.957	0.010
2.052	0.010
2.162	0.010
2.296	0.010
2.398	0.010
2.493	0.010
2.587	0.010
2.698	0.010
2.833	0.010
2.918	0.010
2.980	0.010
3.123	0.010
3.232	0.010
3.322	0.656
3.419	0.756
3.532	2.116
3.658	5.759
3.712	7.793
3.894	10.791
3.956	11.558
4.083	12.179
4.178	11.138
4.298	8.868
4.351	8.362
4.445	7.793
4.588	8.015
4.714	8.709
4.836	9.406
4.903	9.750
4.997	10.791
5.123	12.526
5.226	15.323
5.312	15.996
5.438	16.516
5.568	16.399
5.643	15.996
5.738	15.475
5.812	15.323
5.942	15.822
6.056	16.936
6.179	17.384
6.252	17.474
6.383	18.945
6.398	19.088
6.509	19.813
6.642	21.239
6.683	21.895
6.793	22.936
6.935	26.080
7.013	26.579
7.140	27.620
7.218	28.314
7.277	28.769
7.439	30.916
7.619	32.535
7.659	32.825
7.766	32.535
7.864	31.610
8.010	30.921
8.069	30.916
8.205	30.921
8.274	31.090
8.384	31.263
8.498	31.459
8.604	32.131
8.694	32.535
8.791	33.072
8.904	34.213
9.014	35.254
9.133	36.300
9.250	36.295
9.328	36.837
9.439	36.815
9.550	36.468
9.670	36.300
9.817	36.300
9.897	36.295
10.012	36.837
10.085	37.336
10.211	38.203
10.256	37.913
10.368	37.509
10.501	37.375
10.637	37.162
10.715	37.162
10.794	36.837
10.940	36.300
11.030	36.295
11.135	36.300
11.235	36.295
11.331	36.300
11.456	36.468
11.526	36.300
11.661	35.601
11.770	35.762
11.881	35.774
12.014	35.762
12.022	35.774
12.112	35.762
12.228	35.774
12.306	35.774
12.401	35.601
12.503	35.762
12.606	35.427
12.700	35.254
12.826	34.733
12.942	34.148
13.089	33.610
13.158	33.692
13.267	34.039
13.362	34.213
13.456	33.866
13.528	33.610
13.535	33.692
13.675	34.686
13.756	35.254
13.866	35.601
13.968	35.762
14.066	36.300
14.181	37.162
14.291	37.509
14.417	37.856
14.480	38.030
14.554	37.913
14.685	37.683
14.858	37.162
14.945	37.375
15.016	37.683
15.126	38.203
15.221	38.724
15.335	38.989
15.482	40.065
15.520	40.459
15.678	41.326
15.726	41.678
15.882	42.714
15.945	43.061
16.056	43.929
16.165	44.905
16.245	45.143
16.402	45.317
16.507	44.905
16.575	44.970
16.717	45.143
16.849	45.981
16.938	46.184
17.045	45.981
17.093	45.981
17.221	46.011
17.338	45.981
17.484	44.905
17.552	44.276
17.647	43.929
17.826	43.292
17.883	43.235
17.924	42.754
18.072	42.541
18.182	43.061
18.314	43.292
18.412	43.830
18.497	43.755
18.656	43.830
18.702	43.929
18.851	43.830
18.949	44.368
19.033	43.755
19.143	43.582
19.242	43.292
19.348	43.235
19.486	43.830
19.584	43.830
19.633	43.830
19.779	43.292
19.877	42.754
19.926	43.292
20.121	43.292
20.170	43.292
20.268	43.292
20.372	43.235
20.592	42.861
20.610	42.754
20.703	42.714
20.805	42.754
20.951	43.292
21.034	43.408
21.112	43.235
21.244	43.292
21.349	43.235
21.412	43.235
21.537	42.754
21.680	43.235
21.758	43.235
21.928	43.292
21.977	43.292
21.994	43.408
22.073	43.582
22.270	43.830
