x	y
0.440	90.624
0.587	93.851
0.684	99.768
0.782	102.457
0.917	106.387
1.026	109.449
1.122	112.113
1.222	115.904
1.319	117.517
1.421	121.135
1.564	125.585
1.642	126.860
1.808	129.888
1.857	130.964
1.957	133.279
2.052	136.342
2.162	137.617
2.296	140.107
2.398	141.954
2.493	143.863
2.587	146.118
2.697	147.333
2.833	149.789
2.918	150.803
2.980	151.941
3.123	153.232
3.232	154.620
3.322	156.243
3.419	157.857
3.532	159.130
3.659	159.998
3.712	160.546
3.894	161.906
3.956	162.698
4.083	164.335
4.178	164.856
4.298	165.925
4.352	166.244
4.445	167.001
4.588	167.979
4.714	169.020
4.836	169.690
4.902	170.061
4.997	170.581
5.123	171.255
5.226	171.841
5.312	172.143
5.438	172.663
5.568	173.455
5.643	173.704
5.738	174.051
5.812	174.531
5.942	174.572
6.056	175.069
6.179	175.092
6.252	175.607
6.384	175.439
6.398	175.607
6.509	175.613
6.642	176.144
6.682	176.133
6.793	176.133
6.935	176.144
7.013	176.133
7.139	176.133
7.218	176.133
7.277	176.144
7.439	176.133
7.619	176.144
7.659	176.133
7.766	176.144
7.864	175.960
8.010	175.607
8.069	175.613
8.205	175.607
8.274	175.613
8.384	175.439
8.498	175.069
8.605	174.919
8.694	175.069
8.791	175.069
8.904	174.745
9.014	174.225
9.133	173.455
9.250	173.357
9.328	172.917
9.440	172.663
9.550	172.490
9.670	172.379
9.817	171.841
9.897	171.622
10.012	171.304
10.086	170.928
10.211	170.581
10.256	170.228
10.368	170.061
10.501	170.228
10.636	169.540
10.715	169.367
10.794	169.690
10.940	169.152
11.031	168.499
11.135	168.076
11.235	167.632
11.331	167.001
11.456	166.591
11.526	165.925
11.661	165.723
11.770	165.387
11.881	165.029
12.014	164.311
12.022	164.335
12.112	164.311
12.228	163.641
12.306	163.294
12.401	163.121
12.503	162.698
12.606	162.253
12.700	161.906
12.826	161.733
12.942	160.546
13.089	160.008
13.158	159.651
13.267	159.651
13.362	158.783
13.456	158.610
13.528	158.395
13.535	158.386
13.675	157.857
13.756	157.395
13.867	156.875
13.968	156.243
14.066	155.706
14.181	155.487
14.292	154.620
14.417	154.446
14.480	154.446
14.554	154.092
14.685	153.752
14.858	153.005
14.945	152.478
15.015	152.017
15.126	151.670
15.221	151.323
15.335	150.865
15.482	150.327
15.520	149.935
15.678	149.935
15.726	149.251
15.882	148.547
15.945	148.200
16.056	148.027
16.165	147.638
16.244	147.159
16.403	146.812
16.507	146.562
16.576	145.945
16.717	145.251
16.849	144.948
16.938	144.383
17.045	143.873
17.093	143.873
17.221	143.516
17.338	142.797
17.484	142.259
17.553	141.781
17.647	141.434
17.826	141.183
17.883	140.913
17.924	140.645
18.072	140.566
18.182	139.525
18.314	138.494
18.412	137.956
18.497	138.311
18.656	137.418
18.703	137.443
18.851	136.880
18.949	136.342
19.033	136.402
19.143	136.229
19.242	135.267
19.348	135.188
19.486	134.191
19.584	133.653
19.633	134.191
19.779	133.653
19.877	133.653
19.926	133.115
20.121	132.577
20.170	132.577
20.268	132.040
20.372	131.718
20.592	131.371
20.610	130.964
20.703	130.850
20.805	130.426
20.951	129.888
21.034	129.809
21.112	129.809
21.244	129.350
21.348	129.116
21.412	128.942
21.537	128.812
21.680	128.422
21.758	128.075
21.928	127.737
21.977	127.737
21.994	127.554
22.073	127.554
22.270	127.199
