x	y
0.657	1.183
0.816	32.477
1.333   122.099
1.452   127.959
1.531   128.786
1.611   129.297
1.721   130.252
1.81   131.785
1.887   132.834
1.969   133.48
2.048   134.581
2.131   135.538
2.247   136.185
2.311   137.245
2.446   139.358
2.485   140.982
2.567   141.43
2.644   141.689
2.734   142.159
2.843   142.982
2.926   143.083
3.003   143.582
3.08   144.047
3.17   144.879
3.28   145.306
3.349   145.952
3.4   146.263
3.516   146.834
3.605   147.252
3.678   147.856
3.757   148.776
3.849   148.934
3.952   149.246
3.996   150.706
4.144   151.709
4.194   154.268
4.298   158.617
4.375   161.762
4.473   163.226
4.516   165.49
4.592   167.092
4.708   169.704
4.811   172.532
4.91   174.001
4.964   176.26
5.041   176.724
5.144   177.319
5.228   178.131
5.298   178.321
5.4   178.639
5.506   179.172
5.567   179.317
5.644   179.511
5.705   179.847
5.811   179.813
5.904   178.297
6.003   178.338
6.063   178.729
6.17   178.703
6.182   178.862
6.272   178.914
6.381   177.473
6.413   177.558
6.503   177.683
6.619   177.267
6.682   177.35
6.785   176.481
6.849   176.612
6.897   176.75
7.029   176.166
7.175   175.516
7.208   175.544
7.295   175.404
7.375   174.91
7.493   174.378
7.541   174.345
7.652   174.268
7.708   172.286
7.798   172.145
7.891   171.831
7.977   170.856
8.05   169.101
8.129   168.175
8.221   167.163
8.311   166.919
8.408   166.521
8.503   166.449
8.567   165.222
8.657   165.908
8.747   164.612
8.845   164.476
8.964   164.902
9.029   164.665
9.123   164.502
9.183   164.297
9.285   164.218
9.322   163.816
9.413   163.466
9.52   162.536
9.631   161.832
9.695   161.648
9.759   160.79
9.878   160.144
9.952   159.542
10.037   158.103
10.118   157.687
10.196   156.164
10.298   154.802
10.355   152.124
10.465   150.727
10.554   148.477
10.644   146.081
10.753   144.408
10.759   142.443
10.832   140.438
10.926   140.805
10.99   140.47
11.067   140.26
11.15   139.929
11.234   139.382
11.311   138.958
11.413   138.604
11.508   138.323
11.627   137.679
11.683   137.32
11.772   136.431
11.849   135.727
11.926   135.463
11.985   135.168
11.99   135.148
12.104   135.048
12.17   134.796
12.26   134.429
12.342   133.907
12.422   133.529
12.516   132.644
12.606   132.016
12.708   131.992
12.76   131.056
12.819   130.707
12.926   130.266
13.067   129.428
13.137   129.016
13.195   128.702
13.285   128.534
13.362   128.402
13.455   128.039
13.575   127.996
13.606   127.854
13.734   127.176
13.773   126.726
13.901   126.507
13.952   126.359
14.042   126.556
14.131   126.646
14.195   126.328
14.324   126.142
14.409   125.735
14.465   125.223
14.58   125.685
14.687   125.863
14.76   125.403
14.846   125.865
14.886   125.865
14.99   125.563
15.085   124.962
15.204   124.011
15.26   123.214
15.337   122.734
15.482   122.277
15.529   121.981
15.562   121.582
15.683   121.377
15.772   120.7
15.88   119.913
15.959   119.707
16.029   118.962
16.158   118.163
16.196   117.223
16.317   116.71
16.397   116.511
16.465   116.238
16.554   116.04
16.635   115.103
16.721   114.945
16.834   114.361
16.913   113.91
16.953   113.27
17.072   112.564
17.152   112.313
17.192   112.113
17.351   111.662
17.39   111.662
17.47   111.212
17.555   110.914
17.734   110.446
17.748   110.055
17.824   109.941
17.907   109.604
18.026   109.319
18.093   109.313
18.157   109.199
18.265   108.871
18.349   108.62
18.401   108.445
18.503   108.162
18.619   108.011
18.683   107.663
18.821   107.433
18.861   107.433
18.875   107.343
18.939   107.399
19.099   107.25
