x	y
1.333	148.540
1.452	148.540
1.531	148.540
1.611	149.616
1.721	150.456
2.311	158.783
7.029	202.672
10.644	200.070
17.824	191.570
16.196	192.437
1.810	151.229
1.887	151.456
1.969	153.381
2.048	154.456
2.131	155.313
2.247	157.145
2.446	160.372
2.485	161.448
2.567	162.426
2.644	163.599
2.734	164.854
2.843	166.826
2.926	167.977
3.003	169.712
3.080	171.100
3.170	171.967
3.280	173.817
3.349	174.916
3.400	175.968
3.516	176.998
3.605	178.559
3.678	179.733
3.757	180.271
3.849	182.029
3.952	183.069
3.996	183.497
4.144	185.672
4.194	186.186
4.298	187.233
4.375	188.274
4.473	188.875
4.516	189.141
4.592	189.951
4.708	190.702
4.811	191.570
4.910	192.102
4.964	192.438
5.041	193.078
5.144	193.478
5.228	194.253
5.298	194.866
5.400	195.507
5.506	195.867
5.567	196.774
5.644	196.948
5.705	197.480
5.811	197.988
5.904	198.556
6.003	198.856
6.063	199.094
6.170	199.376
6.182	199.631
6.272	199.644
6.381	200.169
6.413	200.417
6.503	201.111
6.619	201.245
6.682	201.805
6.785	202.152
6.849	202.325
6.897	202.321
7.175	202.858
7.208	203.193
7.295	203.396
7.375	203.193
7.493	202.858
7.541	202.846
7.652	202.858
7.708	203.019
7.798	203.193
7.891	202.858
7.977	202.846
8.050	202.858
8.129	202.858
8.221	203.019
8.311	203.019
8.408	203.396
8.503	203.540
8.567	203.396
8.657	203.366
8.747	203.366
8.845	203.396
8.964	203.396
9.029	203.366
9.123	203.396
9.183	203.540
9.285	203.540
9.322	203.396
9.413	203.193
9.520	202.858
9.631	202.325
9.695	201.978
9.759	201.783
9.878	201.783
9.952	201.284
10.037	200.707
10.118	200.417
10.196	200.169
10.298	200.417
10.355	200.707
10.465	200.244
10.554	199.631
10.753	199.631
10.759	199.397
10.832	199.094
10.926	199.376
10.990	199.203
11.067	199.203
11.150	199.094
11.234	199.029
11.311	198.682
11.413	198.162
11.508	197.480
11.627	197.480
11.683	197.468
11.772	197.468
11.849	197.641
11.926	197.468
11.985	197.480
11.990	197.468
12.104	197.480
12.170	197.468
12.260	197.294
12.342	196.942
12.422	196.942
12.516	196.948
12.606	196.948
12.708	196.774
12.760	196.427
12.819	196.405
12.926	196.080
13.067	196.254
13.137	195.867
13.195	195.733
13.285	195.733
13.362	195.560
13.455	195.329
13.575	195.329
13.606	195.386
13.734	195.386
13.773	195.329
13.901	195.213
13.952	195.560
14.042	195.560
14.131	195.867
14.195	195.907
14.324	195.560
14.409	195.329
14.465	195.039
14.580	195.039
14.687	194.791
14.760	194.866
14.846	194.791
14.886	194.791
14.990	194.692
15.085	194.253
15.204	193.716
15.260	193.478
15.337	193.652
15.482	193.178
15.529	193.478
15.562	193.178
15.683	193.305
15.772	193.131
15.880	192.640
15.959	192.640
16.029	192.611
16.158	192.102
16.317	192.102
16.397	192.102
16.465	192.264
16.554	192.264
16.635	192.102
16.721	192.090
16.834	192.102
16.913	191.564
16.953	192.102
17.072	192.102
17.152	192.102
17.192	192.640
17.351	192.640
17.390	192.102
17.470	192.102
17.555	191.917
17.734	191.570
17.748	191.564
17.907	191.564
18.026	191.564
18.093	191.570
18.157	191.743
18.265	192.102
18.349	191.917
18.401	191.743
18.503	191.564
18.619	191.396
18.683	191.396
18.821	191.396
18.861	191.564
18.875	191.917
18.939	192.090
19.099	192.640
