x	y
0.423	67.166
0.970	129.003
1.516	191.263
2.063	228.534
2.610	241.664
3.102	250.558
3.648	257.335
4.140	255.217
4.687	258.605
5.233	262.417
5.780	262.417
6.327	262.417
7.420	261.994
8.513	260.300
9.607	254.370
10.645	253.523
11.684	252.252
12.777	250.135
13.925	246.746
14.909	241.664
15.948	239.546
17.041	236.158
18.189	237.852
19.282	239.970
20.321	240.393
21.469	241.664
22.453	243.358
23.655	241.664
24.530	239.970
25.678	239.546
26.771	241.664
27.919	242.511
28.903	242.511
29.942	245.052
31.035	239.970
32.183	241.240
33.112	244.205
34.260	241.664
35.299	248.441
36.447	247.170
