x	y
2.896	253.210
3.103	247.900
3.310	251.450
3.516	242.720
3.723	254.920
3.930	254.720
4.137	253.140
4.344	260.460
4.551	263.400
4.758	262.250
4.964	266.690
5.171	267.360
5.378	267.380
5.585	268.100
5.792	265.710
5.999	261.400
6.206	260.840
6.412	257.480
6.619	258.680
6.826	258.010
7.033	257.820
7.240	259.600
7.447	259.610
7.654	260.630
7.860	262.750
8.067	263.410
8.274	264.820
8.481	263.750
8.688	263.440
8.895	259.630
9.101	256.630
9.308	251.540
9.515	249.460
9.722	248.260
9.929	248.020
10.136	248.590
10.343	246.320
10.549	248.750
10.756	248.750
10.963	249.680
11.170	250.150
11.377	249.740
11.584	251.030
11.791	249.180
11.997	250.290
12.204	249.950
12.411	250.970
12.618	250.070
12.825	248.040
13.032	246.450
13.238	245.620
13.445	244.780
13.652	243.490
13.859	243.110
14.066	243.630
14.273	243.050
14.480	241.410
14.686	240.440
14.893	239.290
15.100	238.820
15.307	239.200
15.514	239.590
15.721	240.030
15.928	240.520
16.134	241.070
16.341	242.100
16.548	242.490
16.755	243.090
16.962	243.480
17.169	243.990
17.376	242.280
17.582	242.340
17.789	242.370
17.996	241.920
18.203	242.760
18.410	242.290
18.617	240.770
18.823	240.250
19.030	239.650
19.237	239.730
19.444	238.960
19.651	238.480
19.858	239.150
20.065	238.620
20.271	238.260
20.478	238.900
20.685	238.470
20.892	240.500
21.099	242.150
21.306	242.520
21.513	243.420
21.719	244.950
21.926	245.120
22.133	243.890
22.340	245.260
22.547	246.660
22.754	246.230
22.961	247.280
23.167	245.920
23.374	247.920
23.581	250.230
23.788	250.790
23.995	252.980
24.202	253.640
24.408	255.100
