x	y
0.189	23.300
0.353	36.865
0.516	46.600
0.680	53.400
0.825	57.300
1.007	63.025
1.170	65.694
1.316	70.499
1.479	69.900
1.661	73.000
1.806	74.200
1.988	77.000
2.134	80.600
2.297	83.000
2.461	87.000
2.624	88.400
2.788	89.200
2.951	89.900
3.133	90.200
3.297	90.400
3.442	90.400
3.606	90.300
3.769	90.000
3.933	88.300
4.096	87.000
4.260	86.400
4.423	85.000
4.587	85.000
4.751	83.300
4.914	82.300
5.078	80.800
5.241	80.800
5.405	78.400
5.568	77.200
5.732	75.900
5.896	75.300
6.059	73.700
6.223	72.800
6.386	71.300
6.532	71.200
6.732	68.700
6.877	68.300
