x	y
0.189	1.000
0.353	1.000
0.516	1.200
0.680	2.300
0.825	2.700
1.007	3.200
1.170	5.000
1.316	5.900
1.479	7.000
1.661	8.600
1.806	9.700
1.988	12.000
2.134	12.400
2.297	13.900
2.461	15.600
2.624	16.900
2.788	18.600
2.951	20.800
3.133	22.200
3.297	24.000
3.442	24.000
3.606	25.300
3.769	25.800
3.933	26.200
4.096	26.800
4.260	27.100
4.423	27.700
4.587	27.400
4.751	27.700
4.914	28.300
5.078	28.700
5.241	29.300
5.405	29.300
5.568	29.300
5.732	29.300
5.896	29.300
6.059	29.300
6.223	29.300
6.386	29.300
6.532	29.300
6.732	27.900
6.877	27.800
