x	y
0.189	27.789
0.353	36.865
0.516	49.678
0.680	54.483
0.825	59.288
1.007	63.025
1.170	65.694
1.316	70.499
1.479	73.702
1.661	79.041
1.806	82.244
1.988	87.049
2.134	89.719
2.297	95.057
2.461	98.261
2.624	99.862
2.788	98.261
2.951	101.464
3.133	103.600
3.297	106.803
3.442	114.277
3.606	112.142
3.769	113.743
3.933	116.413
4.096	114.811
4.260	108.938
4.423	105.735
4.587	105.735
4.751	107.871
4.914	106.269
5.078	100.396
5.241	100.396
5.405	98.261
5.568	92.922
5.732	92.388
5.896	96.659
6.059	101.998
6.223	103.600
6.386	101.464
6.532	97.727
6.732	95.057
6.877	85.448
