x	y
0.134	20.980
0.258	31.496
0.376	40.789
0.498	48.400
0.621	52.585
0.761	55.286
0.886	57.495
1.010	59.460
1.134	61.623
1.259	63.800
1.385	65.562
1.501	67.519
1.631	69.474
1.757	70.825
1.880	72.402
2.008	74.961
2.130	77.348
2.260	79.282
2.379	82.002
2.504	84.913
2.629	88.613
2.753	92.051
2.877	94.518
3.001	96.464
3.128	98.428
3.252	100.403
3.377	102.612
3.513	104.666
3.626	107.277
3.750	109.398
3.874	111.558
4.016	113.277
4.123	114.240
4.260	115.347
4.390	116.696
4.532	118.414
4.621	119.642
4.755	120.638
4.889	121.371
5.013	122.353
5.137	122.615
5.262	122.599
5.388	120.635
5.512	118.682
5.642	118.901
5.762	119.144
5.886	118.653
6.012	117.671
6.126	116.886
6.264	116.295
6.385	115.461
6.511	115.226
6.635	115.472
6.759	116.454
6.884	117.927
7.012	117.056
7.133	116.209
7.262	115.398
7.379	115.038
7.506	114.490
7.631	114.216
7.756	112.761
7.880	111.287
8.021	114.479
8.128	108.832
8.253	103.950
8.377	102.477
8.504	107.633
