x	y
0.134	0.000
0.258	0.830
0.376	1.816
0.498	1.364
0.621	1.325
0.761	1.114
0.886	0.925
1.010	0.634
1.134	0.588
1.259	0.000
1.385	0.351
1.501	1.558
1.631	3.949
1.757	6.588
1.880	8.061
2.008	9.456
2.130	10.026
2.260	10.672
2.379	11.223
2.504	11.935
2.629	12.417
2.753	12.708
2.877	12.565
3.001	12.165
3.128	12.011
3.252	12.408
3.377	15.029
3.513	18.320
3.626	20.174
3.750	22.266
3.874	23.463
4.016	23.737
4.123	24.386
4.260	25.351
4.390	26.842
4.532	27.824
4.621	28.088
4.755	28.816
4.889	29.726
5.013	30.270
5.137	30.635
5.262	30.862
5.388	31.179
5.512	31.470
5.642	31.279
5.762	31.470
5.886	31.536
6.012	31.736
6.126	31.999
6.264	32.389
6.385	32.751
6.511	33.171
6.635	33.516
6.759	33.990
6.884	34.326
7.012	34.717
7.133	34.763
7.262	34.698
7.379	34.658
7.506	34.517
7.631	34.517
7.756	34.290
7.880	34.010
8.021	33.564
8.128	33.590
8.253	33.318
8.377	33.073
8.504	32.873
