x	y
0.134	22.008
0.258	33.181
0.376	40.598
0.498	45.263
0.621	51.401
0.761	56.312
0.886	60.496
1.010	63.944
1.134	67.119
1.259	68.567
1.385	70.311
1.501	71.612
1.631	74.221
1.757	77.214
1.880	79.132
2.008	82.320
2.130	84.288
2.260	86.708
2.379	87.988
2.504	88.445
2.629	88.936
2.753	89.839
2.877	91.067
3.001	92.049
3.128	92.540
3.252	93.031
3.377	94.013
3.513	95.781
3.626	97.923
3.750	99.365
3.874	99.888
4.016	100.133
4.123	100.624
4.260	101.015
4.390	102.087
4.532	102.332
4.621	102.595
4.755	102.935
4.889	103.332
5.013	103.894
5.137	104.296
5.262	104.385
5.388	104.641
5.512	104.886
5.642	104.835
5.762	104.770
5.886	105.034
6.012	104.789
6.126	104.935
6.264	105.135
6.385	105.525
6.511	105.525
6.635	105.752
6.759	105.998
6.884	106.244
7.012	106.221
7.133	106.244
7.262	106.413
7.379	106.375
7.506	106.247
7.631	106.247
7.756	106.247
7.880	106.247
8.021	106.258
8.128	106.002
8.253	106.002
8.377	106.002
8.504	106.247
