x	y
0.000	0.260
0.028	1.388
0.086	4.640
0.125	8.820
0.163	11.142
0.202	13.000
0.260	15.787
0.279	16.716
0.317	19.967
0.356	21.825
0.394	23.218
0.433	24.612
0.491	28.328
0.606	33.437
0.703	38.546
0.799	42.726
0.854	46.000
0.876	46.442
0.953	49.693
1.049	53.409
1.126	56.196
1.203	59.447
1.281	62.699
1.377	65.950
1.473	69.201
1.550	72.917
1.666	76.168
1.781	79.420
1.916	83.135
2.013	86.387
2.109	89.173
2.205	92.425
3.091	113.326
3.978	130.047
4.883	142.588
5.769	152.342
6.675	159.309
7.561	163.953
8.447	167.669
9.333	170.456
10.219	171.849
11.105	172.314
12.011	172.314
12.897	171.385
13.783	170.456
14.669	165.811
15.555	160.702
16.442	153.735
