x	y
0.364	15.000
0.666	24.200
0.886	29.700
1.160	35.700
1.435	39.600
1.710	43.500
1.984	46.700
2.259	50.300
2.534	52.400
2.781	53.300
3.056	54.600
3.303	56.000
3.577	56.900
3.852	57.800
4.127	58.400
4.374	59.000
4.649	60.000
4.923	61.000
5.198	62.000
5.445	62.000
5.747	61.000
5.995	61.700
6.242	62.000
6.517	63.000
6.791	64.500
7.066	66.000
7.313	66.000
7.588	66.700
7.835	67.000
8.110	67.000
8.412	67.000
8.659	67.000
8.906	67.000
9.208	68.000
9.456	68.000
9.758	68.000
10.005	69.000
10.252	69.400
10.527	69.800
10.801	70.000
11.049	70.400
11.323	70.600
11.571	70.700
11.845	71.000
12.147	71.500
12.395	71.000
12.642	71.500
12.944	72.600
