x	y
0.364	35.871
0.638	31.365
0.913	32.653
1.160	37.480
1.435	41.342
1.682	40.377
1.984	41.342
2.232	45.204
2.506	48.744
2.781	53.572
3.056	56.790
3.303	59.365
3.605	60.009
3.852	63.227
4.099	67.411
4.347	70.629
4.649	78.675
4.923	83.825
5.171	85.434
5.445	81.572
5.692	81.250
5.967	79.641
6.269	80.606
6.489	87.043
6.764	88.974
7.066	92.836
7.341	97.020
7.588	101.526
7.835	106.032
8.110	110.216
8.384	111.181
8.632	112.468
8.906	115.365
9.181	112.790
9.456	113.434
9.730	114.721
9.977	117.618
10.252	115.687
10.554	114.400
10.801	115.687
11.021	114.721
11.296	116.331
11.571	116.331
11.845	117.940
12.120	118.583
12.367	120.193
12.642	119.871
12.916	121.158
