x	y
0.364	15.000
0.666	24.000
0.886	30.000
1.160	36.500
1.435	41.200
1.710	46.100
1.984	49.500
2.259	54.000
2.534	57.000
2.781	59.000
3.056	61.000
3.303	63.000
3.577	64.000
3.852	66.000
4.127	68.000
4.374	70.000
4.649	71.000
4.923	73.000
5.198	75.000
5.445	76.000
5.747	77.000
5.995	78.000
6.242	79.000
6.517	80.928
6.791	84.000
7.066	87.000
7.313	88.400
7.588	90.000
7.835	92.000
8.110	93.000
8.412	94.000
8.659	95.000
8.906	96.000
9.208	99.000
9.456	100.000
9.758	102.000
10.005	104.000
10.252	106.000
10.527	107.000
10.801	109.000
11.049	111.000
11.323	113.000
11.571	114.000
11.845	116.000
12.147	119.000
12.395	120.000
12.642	121.100
12.944	123.300
